有價證券代號,有價證券名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
 上櫃認購(售)權證  ,,,,,,,
70737P,博智元大21售03,TW22Z70737P1,2022/05/20,上櫃,,RWSCPE,
70741P,元太元富22售02,TW22Z70741P3,2022/05/23,上櫃,,RWSCPE,
70753P,光頡國票21售01,TW22Z70753P8,2022/05/24,上櫃,,RWSCPE,
70759P,元太國泰21售06,TW22Z70759P5,2022/05/26,上櫃,,RWSCPE,
70766P,同致凱基21售01,TW22Z70766P0,2022/05/30,上櫃,,RWSCPE,
70789P,力旺康和22售03,TW22Z70789P2,2022/06/07,上櫃,,RWSCPE,
70797P,力旺元大24售02,TW22Z70797P5,2022/06/07,上櫃,,RWSCPE,
70800P,元太凱基22售01,TW22Z70800P7,2022/06/08,上櫃,,RWSCPE,
70803P,鈺創國票22售01,TW22Z70803P1,2022/06/08,上櫃,,RWSCPE,
70805P,創惟元大26售01,TW22Z70805P6,2022/06/08,上櫃,,RWSCPE,
70806P,群聯麥證22售01,TW22Z70806P4,2022/06/09,上櫃,,RWSCPE,
70818P,晶宏群益22售01,TW22Z70818P9,2022/06/10,上櫃,,RWSCPE,
70822P,鈺創元大24售01,TW22Z70822P1,2022/06/10,上櫃,,RWSCPE,
70838P,漢磊群益23售02,TW22Z70838P7,2022/06/14,上櫃,,RWSCPE,
70847P,漢磊國票22售02,TW22Z70847P8,2022/06/14,上櫃,,RWSCPE,
70848P,漢磊國票23售02,TW22Z70848P6,2022/06/14,上櫃,,RWSCPE,
70855P,鈺創群益22售01,TW22Z70855P1,2022/06/15,上櫃,,RWSCPE,
70863P,力旺國票22售02,TW22Z70863P5,2022/06/16,上櫃,,RWSCPE,
70864P,大樹國票22售01,TW22Z70864P3,2022/06/16,上櫃,,RWSCPE,
70865P,台星科國票23售01,TW22Z70865P0,2022/06/16,上櫃,,RWSCPE,
70867P,穩懋國票23售01,TW22Z70867P6,2022/06/16,上櫃,,RWSCPE,
70871P,信驊國票23售01,TW22Z70871P8,2022/06/17,上櫃,,RWSCPE,
70872P,撼訊國票23售01,TW22Z70872P6,2022/06/17,上櫃,,RWSCPE,
70873P,宏捷科群益22售01,TW22Z70873P4,2022/06/17,上櫃,,RWSCPE,
70875P,元太國票23售01,TW22Z70875P9,2022/06/20,上櫃,,RWSCPE,
70876P,精材國票22售01,TW22Z70876P7,2022/06/20,上櫃,,RWSCPE,
70877P,撼訊國票23售02,TW22Z70877P5,2022/06/20,上櫃,,RWSCPE,
70879P,波若威群益22售01,TW22Z70879P1,2022/06/20,上櫃,,RWSCPE,
70881P,金麗科國票23售01,TW22Z70881P7,2022/06/21,上櫃,,RWSCPE,
70882P,茂達國票23售01,TW22Z70882P5,2022/06/21,上櫃,,RWSCPE,
70883P,群聯國票21售03,TW22Z70883P3,2022/06/21,上櫃,,RWSCPE,
70884P,碩禾國票22售01,TW22Z70884P1,2022/06/21,上櫃,,RWSCPE,
70885P,合晶群益22售01,TW22Z70885P8,2022/06/21,上櫃,,RWSCPE,
70886P,德微群益22售02,TW22Z70886P6,2022/06/21,上櫃,,RWSCPE,
70889P,元太元大23售03,TW22Z70889P0,2022/06/21,上櫃,,RWSCPE,
70890P,元太元大25售01,TW22Z70890P8,2022/06/21,上櫃,,RWSCPE,
70891P,中美晶國票21售03,TW22Z70891P6,2022/06/22,上櫃,,RWSCPE,
70892P,信驊國票23售02,TW22Z70892P4,2022/06/22,上櫃,,RWSCPE,
70893P,威剛國票22售01,TW22Z70893P2,2022/06/22,上櫃,,RWSCPE,
70894P,頎邦國票21售01,TW22Z70894P0,2022/06/22,上櫃,,RWSCPE,
70895P,元太國泰22售02,TW22Z70895P7,2022/06/22,上櫃,,RWSCPE,
70898P,宏捷科元大23售01,TW22Z70898P1,2022/06/22,上櫃,,RWSCPE,
70899P,金麗科元大26售01,TW22Z70899P9,2022/06/22,上櫃,,RWSCPE,
70901P,晶焱群益22售02,TW22Z70901P3,2022/06/22,上櫃,,RWSCPE,
70903P,環球晶群益22售01,TW22Z70903P9,2022/06/22,上櫃,,RWSCPE,
70906P,元太凱基22售02,TW22Z70906P2,2022/06/23,上櫃,,RWSCPE,
70907P,元太國票23售02,TW22Z70907P0,2022/06/23,上櫃,,RWSCPE,
70908P,德微國票22售01,TW22Z70908P8,2022/06/23,上櫃,,RWSCPE,
70909P,撼訊元大23售01,TW22Z70909P6,2022/06/23,上櫃,,RWSCPE,
70911P,晶宏國票22售01,TW22Z70911P2,2022/06/24,上櫃,,RWSCPE,
70913P,胡連國票23售01,TW22Z70913P8,2022/06/27,上櫃,,RWSCPE,
70914P,晶宏國票23售01,TW22Z70914P6,2022/06/27,上櫃,,RWSCPE,
70918P,宏捷科群益23售01,TW22Z70918P7,2022/06/27,上櫃,,RWSCPE,
70922P,元太國票23售03,TW22Z70922P9,2022/06/28,上櫃,,RWSCPE,
70924P,鈺創群益24售01,TW22Z70924P5,2022/06/28,上櫃,,RWSCPE,
70925P,漢磊群益23售03,TW22Z70925P2,2022/06/28,上櫃,,RWSCPE,
70929P,漢磊凱基23售03,TW22Z70929P4,2022/06/28,上櫃,,RWSCPE,
70930P,元太兆豐23售01,TW22Z70930P2,2022/06/29,上櫃,,RWSCPE,
70931P,凡甲國票23售01,TW22Z70931P0,2022/06/29,上櫃,,RWSCPE,
70935P,元太元大23售05,TW22Z70935P1,2022/06/29,上櫃,,RWSCPE,
70936P,群聯元大23售01,TW22Z70936P9,2022/06/29,上櫃,,RWSCPE,
70937P,金麗科國票23售02,TW22Z70937P7,2022/06/30,上櫃,,RWSCPE,
70938P,高端國票23售01,TW22Z70938P5,2022/06/30,上櫃,,RWSCPE,
70939P,智擎國票21售03,TW22Z70939P3,2022/06/30,上櫃,,RWSCPE,
70941P,雙鴻群益25售01,TW22Z70941P9,2022/06/30,上櫃,,RWSCPE,
70942P,元太國票23售04,TW22Z70942P7,2022/07/01,上櫃,,RWSCPE,
70943P,亞信國票23售01,TW22Z70943P5,2022/07/01,上櫃,,RWSCPE,
70944P,信驊國票21售03,TW22Z70944P3,2022/07/01,上櫃,,RWSCPE,
70947P,元太國泰23售01,TW22Z70947P6,2022/07/01,上櫃,,RWSCPE,
70950P,驊訊群益23售01,TW22Z70950P0,2022/07/04,上櫃,,RWSCPE,
70952P,智擎國票23售01,TW22Z70952P6,2022/07/04,上櫃,,RWSCPE,
70954P,中探針國票23售01,TW22Z70954P2,2022/07/05,上櫃,,RWSCPE,
70955P,台半國票23售01,TW22Z70955P9,2022/07/05,上櫃,,RWSCPE,
70956P,同致國票22售01,TW22Z70956P7,2022/07/05,上櫃,,RWSCPE,
70957P,昇達科國票22售01,TW22Z70957P5,2022/07/05,上櫃,,RWSCPE,
70958P,瑞基國票23售01,TW22Z70958P3,2022/07/05,上櫃,,RWSCPE,
70960P,雙鴻國票23售01,TW22Z70960P9,2022/07/05,上櫃,,RWSCPE,
70963P,元太凱基25售01,TW22Z70963P3,2022/07/05,上櫃,,RWSCPE,
70964P,波若威群益23售01,TW22Z70964P1,2022/07/05,上櫃,,RWSCPE,
70965P,智擎群益23售01,TW22Z70965P8,2022/07/05,上櫃,,RWSCPE,
70975P,立端國票23售01,TW22Z70975P7,2022/07/06,上櫃,,RWSCPE,
70976P,翔名國票23售01,TW22Z70976P5,2022/07/06,上櫃,,RWSCPE,
70977P,網家國票23售01,TW22Z70977P3,2022/07/06,上櫃,,RWSCPE,
70978P,廣運國票24售01,TW22Z70978P1,2022/07/06,上櫃,,RWSCPE,
70979P,廣積國票23售01,TW22Z70979P9,2022/07/07,上櫃,,RWSCPE,
70984P,振曜群益23售01,TW22Z70984P9,2022/07/07,上櫃,,RWSCPE,
70985P,晶焱群益23售01,TW22Z70985P6,2022/07/07,上櫃,,RWSCPE,
70987P,旺矽國票23售01,TW22Z70987P2,2022/07/07,上櫃,,RWSCPE,
70988P,信驊國票23售03,TW22Z70988P0,2022/07/07,上櫃,,RWSCPE,
70989P,鈊象國票23售01,TW22Z70989P8,2022/07/07,上櫃,,RWSCPE,
70990P,元太凱基23售01,TW22Z70990P6,2022/07/07,上櫃,,RWSCPE,
70991P,元太凱基23售02,TW22Z70991P4,2022/07/07,上櫃,,RWSCPE,
70993P,漢磊凱基25售01,TW22Z70993P0,2022/07/07,上櫃,,RWSCPE,
70996P,大中國票23售01,TW22Z70996P3,2022/07/08,上櫃,,RWSCPE,
70997P,神準國票23售01,TW22Z70997P1,2022/07/08,上櫃,,RWSCPE,
70998P,神準群益23售02,TW22Z70998P9,2022/07/08,上櫃,,RWSCPE,
70999P,健喬群益23售01,TW22Z70999P7,2022/07/08,上櫃,,RWSCPE,
71004P,宏觀國票23售01,TW22Z71004P5,2022/07/11,上櫃,,RWSCPE,
71005P,良維國票23售01,TW22Z71005P2,2022/07/11,上櫃,,RWSCPE,
71006P,美琪瑪國票23售01,TW22Z71006P0,2022/07/11,上櫃,,RWSCPE,
71007P,高端國票23售02,TW22Z71007P8,2022/07/11,上櫃,,RWSCPE,
71008P,智擎國票23售02,TW22Z71008P6,2022/07/11,上櫃,,RWSCPE,
71009P,頎邦國票23售01,TW22Z71009P4,2022/07/11,上櫃,,RWSCPE,
71010P,廣運國票22售02,TW22Z71010P2,2022/07/11,上櫃,,RWSCPE,
71011P,廣積國票23售02,TW22Z71011P0,2022/07/11,上櫃,,RWSCPE,
71012P,歐買尬國票23售01,TW22Z71012P8,2022/07/11,上櫃,,RWSCPE,
71014P,群聯國票23售01,TW22Z71014P4,2022/07/12,上櫃,,RWSCPE,
71015P,精材國票23售01,TW22Z71015P1,2022/07/12,上櫃,,RWSCPE,
71016P,大樹凱基22售01,TW22Z71016P9,2022/07/12,上櫃,,RWSCPE,
71017P,元太凱基25售02,TW22Z71017P7,2022/07/12,上櫃,,RWSCPE,
71019P,高端群益23售01,TW22Z71019P3,2022/07/12,上櫃,,RWSCPE,
71021P,元太國票22售03,TW22Z71021P9,2022/07/13,上櫃,,RWSCPE,
71022P,神準國票23售02,TW22Z71022P7,2022/07/13,上櫃,,RWSCPE,
71023P,智擎群益23售02,TW22Z71023P5,2022/07/14,上櫃,,RWSCPE,
71024P,鈊象麥證22售01,TW22Z71024P3,2022/07/14,上櫃,,RWSCPE,
71025P,台半國票23售02,TW22Z71025P0,2022/07/14,上櫃,,RWSCPE,
71026P,波若威國票23售01,TW22Z71026P8,2022/07/14,上櫃,,RWSCPE,
71027P,群聯國票23售02,TW22Z71027P6,2022/07/14,上櫃,,RWSCPE,
71031P,中探針國票23售02,TW22Z71031P8,2022/07/15,上櫃,,RWSCPE,
71032P,環球晶國票22售02,TW22Z71032P6,2022/07/15,上櫃,,RWSCPE,
71033P,驊訊國票22售01,TW22Z71033P4,2022/07/15,上櫃,,RWSCPE,
71035P,昇達科群益24售01,TW22Z71035P9,2022/07/15,上櫃,,RWSCPE,
71036P,胡連群益23售01,TW22Z71036P7,2022/07/15,上櫃,,RWSCPE,
71040P,鈺創元大24售02,TW22Z71040P9,2022/07/15,上櫃,,RWSCPE,
71041P,大樹國票23售01,TW22Z71041P7,2022/07/18,上櫃,,RWSCPE,
71042P,胡連國票23售02,TW22Z71042P5,2022/07/18,上櫃,,RWSCPE,
71043P,越峰國票23售01,TW22Z71043P3,2022/07/19,上櫃,,RWSCPE,
71044P,大樹元大23售02,TW22Z71044P1,2022/07/19,上櫃,,RWSCPE,
71045P,元太凱基25售03,TW22Z71045P8,2022/07/20,上櫃,,RWSCPE,
71046P,光頡群益22售01,TW22Z71046P6,2022/07/20,上櫃,,RWSCPE,
71047P,朋程群益21售02,TW22Z71047P4,2022/07/20,上櫃,,RWSCPE,
71048P,世界麥證22售01,TW22Z71048P2,2022/07/20,上櫃,,RWSCPE,
71049P,先進光國票21售01,TW22Z71049P0,2022/07/20,上櫃,,RWSCPE,
71050P,雙鴻國票23售02,TW22Z71050P8,2022/07/20,上櫃,,RWSCPE,
71051P,元太康和21售03,TW22Z71051P6,2022/07/20,上櫃,,RWSCPE,
71052P,大學光元大23售01,TW22Z71052P4,2022/07/20,上櫃,,RWSCPE,
71053P,廣運國票23售01,TW22Z71053P2,2022/07/21,上櫃,,RWSCPE,
71054P,美琪瑪凱基22售01,TW22Z71054P0,2022/07/21,上櫃,,RWSCPE,
71055P,聯亞中信21售02,TW22Z71055P7,2022/07/21,上櫃,,RWSCPE,
71056P,晶宏元大23售03,TW22Z71056P5,2022/07/21,上櫃,,RWSCPE,
71057P,群聯群益21售01,TW22Z71057P3,2022/07/21,上櫃,,RWSCPE,
71058P,頎邦群益21售01,TW22Z71058P1,2022/07/21,上櫃,,RWSCPE,
71059P,譜瑞群益21售02,TW22Z71059P9,2022/07/21,上櫃,,RWSCPE,
71060P,世界國票23售01,TW22Z71060P7,2022/07/22,上櫃,,RWSCPE,
71061P,金居國票23售01,TW22Z71061P5,2022/07/22,上櫃,,RWSCPE,
71062P,信驊國票22售01,TW22Z71062P3,2022/07/22,上櫃,,RWSCPE,
71063P,精星國票21售01,TW22Z71063P1,2022/07/22,上櫃,,RWSCPE,
71064P,穩懋國票23售02,TW22Z71064P9,2022/07/22,上櫃,,RWSCPE,
71065P,力旺凱基23售03,TW22Z71065P6,2022/07/22,上櫃,,RWSCPE,
71066P,信驊凱基22售03,TW22Z71066P4,2022/07/22,上櫃,,RWSCPE,
71067P,力旺中信22售02,TW22Z71067P2,2022/07/22,上櫃,,RWSCPE,
71068P,力旺元大23售02,TW22Z71068P0,2022/07/22,上櫃,,RWSCPE,
71069P,榮剛國票23售01,TW22Z71069P8,2022/07/25,上櫃,,RWSCPE,
71070P,大樹凱基22售02,TW22Z71070P6,2022/07/25,上櫃,,RWSCPE,
71071P,穩懋元大23售01,TW22Z71071P4,2022/07/26,上櫃,,RWSCPE,
71072P,穩懋元大23售02,TW22Z71072P2,2022/07/26,上櫃,,RWSCPE,
71073P,元太國泰23售04,TW22Z71073P0,2022/07/26,上櫃,,RWSCPE,
71074P,穩懋元大23售03,TW22Z71074P8,2022/07/27,上櫃,,RWSCPE,
71075P,元太元富21售10,TW22Z71075P5,2022/07/28,上櫃,,RWSCPE,
71076P,穩懋凱基23售01,TW22Z71076P3,2022/07/28,上櫃,,RWSCPE,
71077P,穩懋麥證23售01,TW22Z71077P1,2022/07/28,上櫃,,RWSCPE,
71078P,中光電國票21售02,TW22Z71078P9,2022/07/28,上櫃,,RWSCPE,
71079P,元太國票23售05,TW22Z71079P7,2022/07/28,上櫃,,RWSCPE,
71080P,穩懋國票23售03,TW22Z71080P5,2022/07/28,上櫃,,RWSCPE,
71081P,胡連元大25售01,TW22Z71081P3,2022/07/28,上櫃,,RWSCPE,
71082P,頎邦元大23售01,TW22Z71082P1,2022/07/28,上櫃,,RWSCPE,
71083P,榮剛中信21售01,TW22Z71083P9,2022/07/29,上櫃,,RWSCPE,
71084P,聯亞中信21售03,TW22Z71084P7,2022/07/29,上櫃,,RWSCPE,
71085P,大樹國票23售02,TW22Z71085P4,2022/07/29,上櫃,,RWSCPE,
71086P,網家國票23售02,TW22Z71086P2,2022/07/29,上櫃,,RWSCPE,
71087P,雙鴻國票23售03,TW22Z71087P0,2022/07/29,上櫃,,RWSCPE,
71088P,元太凱基23售03,TW22Z71088P8,2022/07/29,上櫃,,RWSCPE,
71089P,世界元大23售02,TW22Z71089P6,2022/07/29,上櫃,,RWSCPE,
71090P,光頡元大23售02,TW22Z71090P4,2022/07/29,上櫃,,RWSCPE,
71091P,宏捷科國票23售01,TW22Z71091P2,2022/08/01,上櫃,,RWSCPE,
71092P,聯亞國票23售01,TW22Z71092P0,2022/08/01,上櫃,,RWSCPE,
71093P,元太凱基23售05,TW22Z71093P8,2022/08/01,上櫃,,RWSCPE,
71094P,穩懋凱基25售03,TW22Z71094P6,2022/08/01,上櫃,,RWSCPE,
71095P,元太群益23售01,TW22Z71095P3,2022/08/01,上櫃,,RWSCPE,
71096P,昇達科元大21售05,TW22Z71096P1,2022/08/01,上櫃,,RWSCPE,
71097P,環球晶元大23售12,TW22Z71097P9,2022/08/01,上櫃,,RWSCPE,
71098P,元太麥證23售01,TW22Z71098P7,2022/08/02,上櫃,,RWSCPE,
71099P,大樹國票23售03,TW22Z71099P5,2022/08/02,上櫃,,RWSCPE,
71100P,茂達國票24售01,TW22Z71100P1,2022/08/02,上櫃,,RWSCPE,
71101P,穩懋國票24售01,TW22Z71101P9,2022/08/02,上櫃,,RWSCPE,
71102P,元太國泰24售01,TW22Z71102P7,2022/08/02,上櫃,,RWSCPE,
71103P,穩懋元富22售02,TW22Z71103P5,2022/08/02,上櫃,,RWSCPE,
71104P,元太群益23售02,TW22Z71104P3,2022/08/02,上櫃,,RWSCPE,
71105P,神準群益24售01,TW22Z71105P0,2022/08/02,上櫃,,RWSCPE,
71106P,聯亞群益24售01,TW22Z71106P8,2022/08/02,上櫃,,RWSCPE,
71107P,雙鴻群益23售03,TW22Z71107P6,2022/08/02,上櫃,,RWSCPE,
71108P,長聖元富22售01,TW22Z71108P4,2022/08/03,上櫃,,RWSCPE,
71109P,元太凱基22售06,TW22Z71109P2,2022/08/03,上櫃,,RWSCPE,
71110P,亞信凱基23售02,TW22Z71110P0,2022/08/03,上櫃,,RWSCPE,
71111P,神準凱基23售03,TW22Z71111P8,2022/08/03,上櫃,,RWSCPE,
71112P,穩懋中信23售01,TW22Z71112P6,2022/08/03,上櫃,,RWSCPE,
71113P,精測國票23售01,TW22Z71113P4,2022/08/03,上櫃,,RWSCPE,
71114P,聯亞國票23售03,TW22Z71114P2,2022/08/03,上櫃,,RWSCPE,
71115P,中美晶元大24售03,TW22Z71115P9,2022/08/03,上櫃,,RWSCPE,
71116P,元太元大24售01,TW22Z71116P7,2022/08/03,上櫃,,RWSCPE,
71117P,精測元大24售01,TW22Z71117P5,2022/08/03,上櫃,,RWSCPE,
71118P,環球晶元大24售01,TW22Z71118P3,2022/08/03,上櫃,,RWSCPE,
71119P,元太群益23售03,TW22Z71119P1,2022/08/03,上櫃,,RWSCPE,
71120P,世界國票23售02,TW22Z71120P9,2022/08/04,上櫃,,RWSCPE,
71121P,頎邦國票23售02,TW22Z71121P7,2022/08/04,上櫃,,RWSCPE,
71122P,譜瑞國票23售02,TW22Z71122P5,2022/08/04,上櫃,,RWSCPE,
71123P,穩懋元富22售03,TW22Z71123P3,2022/08/04,上櫃,,RWSCPE,
71124P,穩懋元富22售04,TW22Z71124P1,2022/08/04,上櫃,,RWSCPE,
71125P,元太凱基23售06,TW22Z71125P8,2022/08/04,上櫃,,RWSCPE,
71126P,精測凱基23售02,TW22Z71126P6,2022/08/04,上櫃,,RWSCPE,
71127P,台半群益22售02,TW22Z71127P4,2022/08/04,上櫃,,RWSCPE,
71128P,立端群益22售01,TW22Z71128P2,2022/08/04,上櫃,,RWSCPE,
71129P,頎邦群益22售01,TW22Z71129P0,2022/08/04,上櫃,,RWSCPE,
71130P,元太元大23售21,TW22Z71130P8,2022/08/04,上櫃,,RWSCPE,
71131P,宏捷科元大23售02,TW22Z71131P6,2022/08/04,上櫃,,RWSCPE,
71132P,晶宏元大23售04,TW22Z71132P4,2022/08/04,上櫃,,RWSCPE,
71133P,穩懋元大23售04,TW22Z71133P2,2022/08/04,上櫃,,RWSCPE,
71134P,穩懋永豐22售01,TW22Z71134P0,2022/08/05,上櫃,,RWSCPE,
71135P,中探針國票23售03,TW22Z71135P7,2022/08/05,上櫃,,RWSCPE,
71136P,台半國票23售04,TW22Z71136P5,2022/08/05,上櫃,,RWSCPE,
71137P,世界凱基23售02,TW22Z71137P3,2022/08/05,上櫃,,RWSCPE,
71138P,晶宏凱基24售01,TW22Z71138P1,2022/08/05,上櫃,,RWSCPE,
71139P,世界群益22售02,TW22Z71139P9,2022/08/05,上櫃,,RWSCPE,
71140P,長聖群益23售01,TW22Z71140P7,2022/08/05,上櫃,,RWSCPE,
71141P,元太元大23售22,TW22Z71141P5,2022/08/05,上櫃,,RWSCPE,
71142P,穩懋元大23售05,TW22Z71142P3,2022/08/05,上櫃,,RWSCPE,
71143P,穩懋元大23售06,TW22Z71143P1,2022/08/05,上櫃,,RWSCPE,
71144P,穩懋元大23售07,TW22Z71144P9,2022/08/05,上櫃,,RWSCPE,
71145P,高端國票23售04,TW22Z71145P6,2022/08/08,上櫃,,RWSCPE,
71146P,鈺太國票22售01,TW22Z71146P4,2022/08/08,上櫃,,RWSCPE,
71147P,精測元富22售03,TW22Z71147P2,2022/08/08,上櫃,,RWSCPE,
71148P,元太凱基25售05,TW22Z71148P0,2022/08/08,上櫃,,RWSCPE,
71149P,穩懋凱基22售01,TW22Z71149P8,2022/08/08,上櫃,,RWSCPE,
71150P,久元群益22售01,TW22Z71150P6,2022/08/08,上櫃,,RWSCPE,
71151P,元太群益22售01,TW22Z71151P4,2022/08/08,上櫃,,RWSCPE,
71152P,岳豐群益22售01,TW22Z71152P2,2022/08/08,上櫃,,RWSCPE,
71153P,胡連群益22售01,TW22Z71153P0,2022/08/08,上櫃,,RWSCPE,
71154P,高端群益23售02,TW22Z71154P8,2022/08/08,上櫃,,RWSCPE,
71155P,晶宏群益24售01,TW22Z71155P5,2022/08/08,上櫃,,RWSCPE,
71156P,廣運群益22售01,TW22Z71156P3,2022/08/08,上櫃,,RWSCPE,
71157P,世界永豐22售01,TW22Z71157P1,2022/08/08,上櫃,,RWSCPE,
71158P,元太元大23售23,TW22Z71158P9,2022/08/08,上櫃,,RWSCPE,
71159P,元太元大23售24,TW22Z71159P7,2022/08/08,上櫃,,RWSCPE,
71160P,台半元大23售05,TW22Z71160P5,2022/08/08,上櫃,,RWSCPE,
71161P,撼訊元大24售01,TW22Z71161P3,2022/08/08,上櫃,,RWSCPE,
71162P,精測元富22售04,TW22Z71162P1,2022/08/09,上櫃,,RWSCPE,
71163P,網家中信22售01,TW22Z71163P9,2022/08/09,上櫃,,RWSCPE,
71164P,穩懋國泰24售01,TW22Z71164P7,2022/08/09,上櫃,,RWSCPE,
71165P,穩懋麥證22售01,TW22Z71165P4,2022/08/09,上櫃,,RWSCPE,
71166P,岳豐國票22售02,TW22Z71166P2,2022/08/09,上櫃,,RWSCPE,
71167P,旺矽國票23售02,TW22Z71167P0,2022/08/09,上櫃,,RWSCPE,
71168P,茂達國票23售02,TW22Z71168P8,2022/08/09,上櫃,,RWSCPE,
71169P,泰博國票23售01,TW22Z71169P6,2022/08/09,上櫃,,RWSCPE,
71170P,大學光群益22售02,TW22Z71170P4,2022/08/09,上櫃,,RWSCPE,
71171P,尼克森群益22售01,TW22Z71171P2,2022/08/09,上櫃,,RWSCPE,
71172P,家登群益22售04,TW22Z71172P0,2022/08/09,上櫃,,RWSCPE,
71173P,精測群益22售02,TW22Z71173P8,2022/08/09,上櫃,,RWSCPE,
71174P,元太富邦24售01,TW22Z71174P6,2022/08/09,上櫃,,RWSCPE,
71175P,大樹元大23售04,TW22Z71175P3,2022/08/09,上櫃,,RWSCPE,
71176P,元太元大23售25,TW22Z71176P1,2022/08/09,上櫃,,RWSCPE,
71177P,元太元大23售26,TW22Z71177P9,2022/08/09,上櫃,,RWSCPE,
71178P,世界元大23售04,TW22Z71178P7,2022/08/09,上櫃,,RWSCPE,
71179P,世界元大23售05,TW22Z71179P5,2022/08/09,上櫃,,RWSCPE,
71180P,茂達元大23售01,TW22Z71180P3,2022/08/09,上櫃,,RWSCPE,
71181P,精測元大23售01,TW22Z71181P1,2022/08/09,上櫃,,RWSCPE,
71182P,亞信群益22售01,TW22Z71182P9,2022/08/10,上櫃,,RWSCPE,
71183P,長聖元富22售02,TW22Z71183P7,2022/08/10,上櫃,,RWSCPE,
71184P,元太凱基22售08,TW22Z71184P5,2022/08/10,上櫃,,RWSCPE,
71185P,合一國票23售01,TW22Z71185P2,2022/08/10,上櫃,,RWSCPE,
71186P,泰博國票23售02,TW22Z71186P0,2022/08/10,上櫃,,RWSCPE,
71187P,寶雅國票23售01,TW22Z71187P8,2022/08/10,上櫃,,RWSCPE,
71188P,世界統一22售01,TW22Z71188P6,2022/08/10,上櫃,,RWSCPE,
71189P,穩懋富邦22售01,TW22Z71189P4,2022/08/10,上櫃,,RWSCPE,
71190P,中探針元大26售02,TW22Z71190P2,2022/08/10,上櫃,,RWSCPE,
71191P,台半元大24售03,TW22Z71191P0,2022/08/10,上櫃,,RWSCPE,
71192P,同致元大23售02,TW22Z71192P8,2022/08/10,上櫃,,RWSCPE,
71193P,欣銓元大23售01,TW22Z71193P6,2022/08/10,上櫃,,RWSCPE,
71194P,金居元大23售02,TW22Z71194P4,2022/08/10,上櫃,,RWSCPE,
71195P,博智元大25售01,TW22Z71195P1,2022/08/10,上櫃,,RWSCPE,
71196P,榮剛元大23售04,TW22Z71196P9,2022/08/10,上櫃,,RWSCPE,
71197P,譜瑞元大23售05,TW22Z71197P7,2022/08/10,上櫃,,RWSCPE,
71198P,合一元富22售02,TW22Z71198P5,2022/08/11,上櫃,,RWSCPE,
71199P,智擎元富22售02,TW22Z71199P3,2022/08/11,上櫃,,RWSCPE,
71200P,元太中信22售02,TW22Z71200P9,2022/08/11,上櫃,,RWSCPE,
71201P,元太元大23售27,TW22Z71201P7,2022/08/11,上櫃,,RWSCPE,
71202P,元太元大23售28,TW22Z71202P5,2022/08/11,上櫃,,RWSCPE,
71203P,同致凱基23售03,TW22Z71203P3,2022/08/11,上櫃,,RWSCPE,
71204P,金居凱基23售01,TW22Z71204P1,2022/08/11,上櫃,,RWSCPE,
71205P,群聯凱基24售04,TW22Z71205P8,2022/08/11,上櫃,,RWSCPE,
71206P,穩懋凱基23售04,TW22Z71206P6,2022/08/11,上櫃,,RWSCPE,
71207P,譜瑞凱基23售01,TW22Z71207P4,2022/08/11,上櫃,,RWSCPE,
71208P,普誠群益22售02,TW22Z71208P2,2022/08/11,上櫃,,RWSCPE,
71209P,鈊象群益22售01,TW22Z71209P0,2022/08/11,上櫃,,RWSCPE,
71210P,寶雅群益22售02,TW22Z71210P8,2022/08/11,上櫃,,RWSCPE,
71211P,元太統一24售03,TW22Z71211P6,2022/08/11,上櫃,,RWSCPE,
71212P,穩懋統一22售06,TW22Z71212P4,2022/08/11,上櫃,,RWSCPE,
71213P,鈺創統一22售02,TW22Z71213P2,2022/08/12,上櫃,,RWSCPE,
71214P,穩懋統一22售07,TW22Z71214P0,2022/08/12,上櫃,,RWSCPE,
71215P,大學光國票22售01,TW22Z71215P7,2022/08/12,上櫃,,RWSCPE,
71216P,長聖國票23售01,TW22Z71216P5,2022/08/12,上櫃,,RWSCPE,
71217P,普誠國票23售01,TW22Z71217P3,2022/08/12,上櫃,,RWSCPE,
71218P,精測國票23售03,TW22Z71218P1,2022/08/12,上櫃,,RWSCPE,
71219P,元太元富22售03,TW22Z71219P9,2022/08/12,上櫃,,RWSCPE,
71220P,元太元富22售04,TW22Z71220P7,2022/08/12,上櫃,,RWSCPE,
71221P,朋程元富22售02,TW22Z71221P5,2022/08/12,上櫃,,RWSCPE,
71222P,高端元富22售01,TW22Z71222P3,2022/08/12,上櫃,,RWSCPE,
71223P,力旺凱基22售02,TW22Z71223P1,2022/08/12,上櫃,,RWSCPE,
71224P,元太凱基22售09,TW22Z71224P9,2022/08/12,上櫃,,RWSCPE,
71225P,高端國泰24售01,TW22Z71225P6,2022/08/12,上櫃,,RWSCPE,
71226P,元太元大23售29,TW22Z71226P4,2022/08/12,上櫃,,RWSCPE,
71227P,元太元大23售30,TW22Z71227P2,2022/08/12,上櫃,,RWSCPE,
71228P,穩懋元大23售08,TW22Z71228P0,2022/08/12,上櫃,,RWSCPE,
71229P,穩懋元大23售09,TW22Z71229P8,2022/08/12,上櫃,,RWSCPE,
71230P,寶雅元大23售03,TW22Z71230P6,2022/08/12,上櫃,,RWSCPE,
